#{"t_start": 1661614504.322362, "env_id": "SuperMarioBros-v0"}
r,l,t
2465.0,3923,34.993513
2465.0,3923,56.118893
2465.0,3923,77.161433
2465.0,3923,98.772661
2465.0,3923,120.212062
