#{"t_start": 1661587503.4634001, "env_id": "SuperMarioBros-v0"}
r,l,t
1444.0,1390,18165.846985
1601.0,10305,18292.934928
2042.0,1538,18382.336604
2317.0,11193,18513.537917
1321.0,3622,18611.958332
2516.0,2137,18621.297174
1795.0,2740,18633.204684
2021.0,1855,18723.443443
1079.0,515,18725.720886
722.0,8265,18844.281046
1851.0,1009,18848.689495
1498.0,7058,18959.468856
1389.0,16286,19193.892567
1430.0,2167,19285.091627
1877.0,885,19288.913771
2661.0,10083,19414.728637
1472.0,16945,19651.507707
1966.0,1743,19741.49443
1629.0,10037,19868.725123
1267.0,7028,19981.389826
1700.0,3704,20078.884857
2146.0,1993,20087.510999
1965.0,2956,20100.241989
1684.0,11557,20313.573673
1642.0,14081,20544.115731
2758.0,5863,20643.051173
1633.0,8971,20753.655373
1306.0,4435,20845.821513
2253.0,10587,20958.565631
1810.0,6939,21060.566445
1901.0,2922,21071.837709
1951.0,2165,21154.87063
1568.0,2723,21165.373498
1437.0,1329,21170.5143
2101.0,4969,21264.47493
2424.0,8246,21371.218328
2085.0,4475,21463.54255
1120.0,2913,21474.830709
3027.0,2857,21560.550316
1891.0,8152,21666.63696
3078.0,4675,21684.736243
910.0,8265,21863.550059
2181.0,3146,21875.765922
1631.0,1385,21881.139235
1851.0,9443,21991.988833
2471.0,4472,22083.549639
1317.0,13030,22282.39633
2134.0,3471,22295.791631
2305.0,5179,22390.059082
1595.0,5592,22486.000427
1889.0,8154,22591.583422
1493.0,1575,22597.690221
1496.0,9039,22781.677935
1119.0,799,22784.789524
1240.0,9519,22895.982909
1864.0,1381,22901.340256
1664.0,18054,23193.994724
1748.0,6219,23294.559727
2369.0,3501,23308.029723
1735.0,10977,23498.814195
2034.0,4735,23517.344212
1801.0,9507,23701.013231
2073.0,5308,23721.504395
2546.0,4361,23812.287728
2032.0,4127,23828.246198
1984.0,5700,23924.298206
1395.0,5807,24020.987115
1704.0,4395,24112.477659
1904.0,10845,24228.642882
2841.0,7107,24331.016006
925.0,8233,24437.579662
2422.0,5560,24530.312611
1417.0,1359,24535.560058
2163.0,4225,24626.065301
2319.0,13619,24826.765379
2486.0,5414,24921.941338
1109.0,16150,25132.925354
1607.0,9831,25245.033438
1447.0,1674,25251.52761
1086.0,825,25329.246859
1441.0,3158,25341.471723
2269.0,5066,25432.270399
2239.0,4580,25450.093599
2045.0,10453,25638.167933
2007.0,2227,25646.838014
2007.0,2477,25656.400026
1532.0,1597,25736.530122
1824.0,1125,25740.863679
2586.0,7487,25844.283326
2336.0,2426,25853.6513
2525.0,4163,25944.204522
3868.0,5399,26039.501411
1084.0,625,26041.937444
2043.0,5127,26063.600302
1998.0,2115,26146.287101
2299.0,8257,26252.962965
2102.0,3874,26267.95689
2498.0,6500,26363.66671
3044.0,8203,26469.641418
732.0,427,26471.30413
2218.0,6088,26569.010875
2720.0,9766,26755.155241
1633.0,4013,26770.692071
2106.0,3947,26860.097111
1175.0,3311,26872.850774
