#{"t_start": 1661515664.7953672, "env_id": "SuperMarioBros-v0"}
r,l,t
625.0,16215,201.958463
752.0,16211,398.372931
1036.0,17051,606.822525
1247.0,9853,783.744938
686.0,8319,887.350357
1105.0,725,890.506267
